LOCATION_CITY,LOCATION_STATE
Atlanta,Georgia
Boston,Massachusetts
Brooklyn,New York
Charlotte,North Carolina
Chicago,Illinois
Cleveland,Ohio
Dallas,Texas
Denver,Colorado
Detroit,Michigan
Oakland,California
Houston,Texas
Indianapolis,Indiana
Los Angeles,California
Memphis,Tennessee
Miami,Florida
Milwaukee,Wisconsin
Minneapolis,Minnesota
New Orleans,Louisiana
New York,New York
Oklahoma City,Oklahoma
Orlando,Florida
Philadelphia,Pennsylvania
Phoenix,Arizona
Portland,Oregon
Sacramento,California
San Antonio,Texas
Toronto,Canada
Salt Lake City,Utah
Washington,District of Columbia
